Status Rekening,Durasi dalam bulan,Riwayat Kredit,Tujuan Kredit,Jumlah Kredit (DM),Tabungan/Bonds,Pekerjaan Saat Ini,Tingkat Angsuran (%),Status Pribadi dan Jenis Kelamin,Debitur / Penjamin,Tinggal di Tempat Saat Ini,Properti,Usia (tahun),Rencana Angsuran Lain,Tempat Tinggal,Jumlah Kredit di Bank Ini,Pekerjaan,Jumlah Tanggungan,Nomor Telepon,Pekerja Migran,Kelayakan Kredit
< 0 DM,24,Kredit berjalan lancar,Lainnya,1755,< 100 DM,>= 7 thn,4,Wanita menikah/cerai,Penjamin,4,Properti,58,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Ada,Ya,Baik
< 0 DM,10,Kredit berjalan lancar,TV / Radio,2315,< 100 DM,>= 7 thn,3,Pria lajang,Tidak ada,4,Properti,52,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
Tidak ada rekening,12,Masalah / kredit di luar bank,Bisnis,1412,< 100 DM,1-4 thn,4,Wanita menikah/cerai,Penjamin,2,Properti,29,Tidak ada,Milik sendiri,2,Manajer / profesional,1,Ada,Ya,Baik
0-199 DM,18,Masalah / kredit di luar bank,Furniture,1295,< 100 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,1,Tabungan/Asuransi,27,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,36,Kredit berjalan lancar,Pendidikan,12612,100-499 DM,1-4 thn,1,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,47,Tidak ada,Gratis,1,Terampil / pegawai,2,Ada,Ya,Buruk
< 0 DM,18,Kredit berjalan lancar,Mobil baru,2249,100-499 DM,4-7 thn,4,Pria lajang,Tidak ada,3,Mobil / lainnya,30,Tidak ada,Milik sendiri,1,Manajer / profesional,2,Ada,Ya,Baik
< 0 DM,12,Tidak pernah kredit / selalu lancar,Renovasi,1108,< 100 DM,4-7 thn,4,Pria lajang,Tidak ada,3,Properti,28,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,12,Masalah / kredit di luar bank,TV / Radio,618,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Properti,56,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,12,Masalah / kredit di luar bank,Mobil bekas,1409,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,3,Properti,54,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,12,Masalah / kredit di luar bank,TV / Radio,797,Tidak ada / tidak tahu,>= 7 thn,4,Wanita menikah/cerai,Tidak ada,3,Tabungan/Asuransi,33,Bank,Milik sendiri,1,Tidak terampil (residen),2,Tidak ada,Ya,Buruk
>= 200 DM / gaji tetap,24,Masalah / kredit di luar bank,Furniture,3617,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Ko-pemohon,4,Tidak ada / tidak tahu,20,Tidak ada,Sewa,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,12,Kredit berjalan lancar,Mobil baru,1318,>= 1000 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Properti,54,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,54,Tidak pernah kredit / selalu lancar,Bisnis,15945,< 100 DM,< 1 thn,3,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,58,Tidak ada,Sewa,1,Terampil / pegawai,1,Ada,Ya,Buruk
Tidak ada rekening,12,Masalah / kredit di luar bank,Pendidikan,2012,Tidak ada / tidak tahu,4-7 thn,4,Wanita menikah/cerai,Tidak ada,2,Mobil / lainnya,61,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,18,Kredit berjalan lancar,Bisnis,2622,100-499 DM,1-4 thn,4,Pria lajang,Tidak ada,4,Mobil / lainnya,34,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,36,Masalah / kredit di luar bank,TV / Radio,2337,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Properti,36,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,20,Pernah telat bayar,Mobil bekas,7057,Tidak ada / tidak tahu,4-7 thn,3,Pria lajang,Tidak ada,4,Tabungan/Asuransi,36,Bank,Sewa,2,Manajer / profesional,2,Ada,Ya,Baik
Tidak ada rekening,24,Kredit berjalan lancar,Mobil baru,1469,100-499 DM,>= 7 thn,4,Pria menikah/duda,Tidak ada,4,Properti,41,Tidak ada,Sewa,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
0-199 DM,36,Kredit berjalan lancar,TV / Radio,2323,< 100 DM,4-7 thn,4,Pria lajang,Tidak ada,4,Mobil / lainnya,24,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,6,Pernah telat bayar,TV / Radio,932,< 100 DM,1-4 thn,3,Wanita menikah/cerai,Tidak ada,2,Properti,24,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,9,Masalah / kredit di luar bank,Furniture,1919,< 100 DM,4-7 thn,4,Pria lajang,Tidak ada,3,Mobil / lainnya,35,Tidak ada,Sewa,1,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,12,Kredit berjalan lancar,Mobil bekas,2445,Tidak ada / tidak tahu,< 1 thn,2,Pria menikah/duda,Tidak ada,4,Mobil / lainnya,26,Tidak ada,Sewa,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,24,Masalah / kredit di luar bank,Lainnya,11938,< 100 DM,1-4 thn,2,Pria lajang,Ko-pemohon,3,Mobil / lainnya,39,Tidak ada,Milik sendiri,2,Manajer / profesional,2,Ada,Ya,Buruk
Tidak ada rekening,18,Kredit di bank ini lancar,Mobil baru,6458,< 100 DM,>= 7 thn,2,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,39,Bank,Milik sendiri,2,Manajer / profesional,2,Ada,Ya,Buruk
0-199 DM,12,Kredit berjalan lancar,Mobil baru,6078,< 100 DM,4-7 thn,2,Pria lajang,Tidak ada,2,Mobil / lainnya,32,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,24,Kredit berjalan lancar,Furniture,7721,Tidak ada / tidak tahu,< 1 thn,1,Wanita menikah/cerai,Tidak ada,2,Tabungan/Asuransi,30,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Bukan,Baik
0-199 DM,14,Kredit berjalan lancar,Bisnis,1410,500-999 DM,>= 7 thn,1,Pria menikah/duda,Tidak ada,2,Properti,35,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,6,Pernah telat bayar,Bisnis,1449,100-499 DM,>= 7 thn,1,Pria cerai/pisah,Tidak ada,2,Mobil / lainnya,31,Bank,Milik sendiri,2,Terampil / pegawai,2,Tidak ada,Ya,Baik
